year,state,station,name,lat,elev,avg_temp,avg_co2
2013,AK,700001,PORTAGE GLACIER,60.785,+0031.4,37.5738236047107,396.57
2013,AK,700260,W POST-WILL ROGERS MEMORIAL A,71.283,+0009.5,14.606326804915515,396.57
2013,AK,700300,WAINWRIGHT AIRPORT,70.639,+0027.0,16.046579030288708,396.57
2013,AK,700631,TATITLEK,60.872,+0018.9,41.269351354042215,396.57
2013,AK,700632,BUCKLAND AIRPORT,65.983,+0009.1,23.50500679767643,396.57
2013,AK,700634,UGNU-KUPRAUK AIRPORT,70.331,+0020.4,12.918844086021505,396.57
2013,AK,700635,GALBRAITH LAKE AIRPORT,68.483,+0814.0,15.902777777777777,396.57
2013,AK,700637,DEADHORSE AIRPORT,70.192,+0018.6,13.625218040621265,396.57
2013,AK,701040,CAPE LISBURNE LRRS AIRPORT,68.883,+0004.9,20.809287349945951,396.57
2013,AK,701045,RED DOG AIRPORT,68.067,+0297.0,23.968897463397298,396.57
2013,AK,701170,TIN CITY LRRS AIRPORT,65.567,+0083.0,22.796425371223755,396.57
2013,AK,701196,BOB BARKER MEMORIAL AIRPORT,66.983,+0051.2,25.817144563279037,396.57
2013,AK,701210,POINT LAY LRRS AIRPORT,69.817,+0007.6,14.798063236047104,396.57
2013,AK,701330,RALPH WIEN MEMORIAL AIRPORT,66.867,+0009.1,24.44165130568356,396.57
2013,AK,701333,DEERING AIRPORT,66.083,+0006.4,23.694763184843829,396.57
2013,AK,701335,NOATAK AIRPORT,67.566,+0027.0,23.402422873631345,396.57
2013,AK,701338,CHEVAK AIRPORT,61.533,+0022.9,28.517275099452515,396.57
2013,AK,701625,ANAKTUVUK PASS AIRPORT,68.167,+0641.0,16.032667283433412,396.57
2013,AK,701718,AMBLER AIRPORT,67.1,+0102.0,25.234623342024157,396.57
2013,AK,701719,SHUNGNAK AIRPORT,66.888,+0062.8,25.074334202906229,396.57
2013,AK,701730,INDIAN MOUNTAIN LRRS ARPT,66.0,+0389.0,26.307132426021163,396.57
2013,AK,701740,BETTLES AIRPORT,66.918,+0193.2,23.412913466461852,396.57
2013,AK,701748,PROSPECT CREEK AIRPORT,66.817,+0335.0,20.37638888888889,396.57
2013,AK,701780,RALPH M CALHOUN MEML ARPT,65.175,+0067.7,26.325264976958525,396.57
2013,AK,701793,MANLEY HOT SPRINGS,65.0,+0082.9,29.126953662562261,396.57
2013,AK,701940,FORT YUKON AIRPORT,66.567,+0135.6,23.684807347670244,396.57
2013,AK,701945,ARCTIC VILLAGE AIRPORT,68.117,+0638.0,17.193827444956476,396.57
2013,AK,701975,EAGLE AIRPORT,64.783,+0276.8,26.681156554019456,396.57
2013,AK,702004,WHITE MOUNTAIN,64.689,+0081.4,28.61801568476853,396.57
2013,AK,702005,ST MARYS,62.062,+0095.1,28.392339116976213,396.57
2013,AK,702006,KALTAG AIRPORT,64.327,+0055.2,28.658442057656643,396.57
2013,AK,702035,SAVOONGA AIRPORT,63.687,+0016.8,25.474567972350229,396.57
2013,AK,702040,GAMBELL AIRPORT,63.767,+0008.5,25.921100202586878,396.57
2013,AK,702075,ANVIK AIRPORT,62.65,+0094.0,30.529713382186969,396.57
2013,AK,702084,EMMONAK,62.785,+0004.3,28.222461481171159,396.57
2013,AK,702120,CAPE ROMANZOFF AFS,61.783,+0146.0,29.937799342234825,396.57
2013,AK,702185,MEKORYUK AIRPORT,60.383,+0015.0,29.93506054617734,396.57
2013,AK,702190,BETHEL AIRPORT,60.785,+0031.1,30.70682603686636,396.57
2013,AK,702220,GALENA AIRPORT,64.737,+0049.0,27.621105439023957,396.57
2013,AK,702223,KOYUK AIRPORT,64.935,+0037.0,27.415457510679282,396.57
2013,AK,702310,MCGRATH AIRPORT,62.957,+0101.5,29.266833717357908,396.57
2013,AK,702315,TATALINA LRRS AIRPORT,62.894,+0294.0,30.375988951568768,396.57
2013,AK,702320,ANIAK AIRPORT,61.583,+0026.0,32.181256720430106,396.57
2013,AK,702325,WASILLA AIRPORT,61.572,+0108.0,36.988934351062682,396.57
2013,AK,702350,SPARREVOHN LRRS AIRPORT,61.1,+0484.0,32.614347158218123,396.57
2013,AK,702460,MINCHUMINA,63.9,+0214.0,28.609409882232463,396.57
2013,AK,702510,TALKEETNA AIRPORT,62.32,+0106.7,36.284701652629906,396.57
2013,AK,702550,SKWENTNA AIRPORT,61.977,+0045.7,36.858139720273343,396.57
